application_id,job_id,application_date,application_status,application_source,job_title,job_posted_date,job_location,candidate_id,full_name,interview_id,interview_status,offer_id,offer_status,employee_id,joining_date,interview_delay_days,offer_decision_days,time_to_hire_days,interview_completed_flag,offer_sent_flag,hired_flag
15,1,2026-05-12,Interview,LinkedIn,ML Engineer,2025-10-20,Dallas,270,Carolyn Holmes,5,Selected,1,Rejected,,,12,31,,0,1,0
15,15,2026-05-07,Applied,LinkedIn,Software Engineer,2026-02-24,Houston,1000,Michele Hartman,5,Selected,1,Rejected,,,17,31,,0,1,0
20,1,2025-10-28,Under Review,Company Website,ML Engineer,2025-10-20,Dallas,398,Bobby Moss,6,Selected,2,Accepted,EMP10001,2026-06-30,188,14,245,0,1,1
20,20,2026-03-21,Applied,Indeed,Software Engineer,2025-08-15,Seattle,1000,Michele Hartman,6,Selected,2,Accepted,EMP10001,2026-06-30,44,14,101,0,1,1
28,28,2026-01-12,Under Review,Company Website,Data Engineer,2025-09-22,Seattle,1000,Michele Hartman,9,Selected,3,Rejected,,,28,55,,0,1,0
30,30,2026-02-11,Interview,Dice,ML Engineer,2025-12-02,Chicago,1000,Michele Hartman,11,Selected,4,Rejected,,,94,35,,0,1,0
45,2,2026-03-26,Applied,Referral,DevOps Engineer,2025-08-08,Houston,762,Derek Reyes,13,Selected,5,Accepted,EMP10002,2026-08-04,62,12,131,0,1,1
45,45,2026-05-15,Rejected,Referral,BI Developer,2026-02-13,Austin,1000,Michele Hartman,13,Selected,5,Accepted,EMP10002,2026-08-04,12,12,81,0,1,1
63,2,2025-11-03,Under Review,LinkedIn,DevOps Engineer,2025-08-08,Houston,516,Alexis Avila,19,Selected,6,Accepted,EMP10003,2026-08-01,220,20,271,0,1,1
63,63,2026-06-04,Under Review,Referral,BI Developer,2026-05-19,Houston,1000,Michele Hartman,19,Selected,6,Accepted,EMP10003,2026-08-01,7,20,58,0,1,1
66,66,2025-10-12,Rejected,Dice,Data Architect,2025-09-29,Dallas,1000,Michele Hartman,20,Selected,7,Pending,,,140,,,0,1,0
84,2,2025-09-02,Under Review,Dice,DevOps Engineer,2025-08-08,Houston,728,Jessica Perez,24,Selected,8,Accepted,EMP10004,2026-07-19,273,4,320,0,1,1
84,84,2026-05-30,Applied,LinkedIn,ML Engineer,2026-04-18,Austin,1000,Michele Hartman,24,Selected,8,Accepted,EMP10004,2026-07-19,3,4,50,0,1,1
89,2,2025-12-18,Applied,LinkedIn,DevOps Engineer,2025-08-08,Houston,18,Crystal Grimes,26,Selected,9,Pending,,,173,,,0,1,0
89,89,2026-05-02,Rejected,Referral,ML Engineer,2025-09-08,Austin,1000,Michele Hartman,26,Selected,9,Pending,,,38,,,0,1,0
3565,71,2025-12-24,Applied,Dice,ML Engineer,2025-08-28,Austin,473,Matthew Jackson,,,,,,,,,,0,0,0
2848,56,2026-06-06,Under Review,Referral,ML Engineer,2026-01-22,Houston,800,Carol Martinez,,,,,,,,,,0,0,0
251,5,2025-12-29,Interview,LinkedIn,Data Analyst,2025-10-09,Chicago,874,Joseph Rice,,,,,,,,,,0,0,0
2026,39,2026-06-20,Rejected,LinkedIn,QA Engineer,2025-10-29,Houston,830,Sara Schmidt,,,,,,,,,,0,0,0
3028,59,2025-11-06,Applied,Indeed,Software Engineer,2025-10-10,Dallas,394,Michael Elliott,,,,,,,,,,0,0,0
2409,47,2026-06-30,Applied,Company Website,DevOps Engineer,2026-05-16,Dallas,352,Katie Chan,,,,,,,,,,0,0,0
2024,39,2026-02-08,Interview,Referral,QA Engineer,2025-10-29,Houston,170,Stephanie Smith,,,,,,,,,,0,0,0
264,5,2025-10-17,Under Review,Referral,Data Analyst,2025-10-09,Chicago,963,Cheyenne Gutierrez,,,,,,,,,,0,0,0
